latitude,longitude
40.4492827,-3.6737161
40.446666,-3.6687249
40.4495462,-3.6640834
40.4368793,-3.6699579
40.4361753,-3.6683086
40.4433586,-3.6654264
40.4412033,-3.6706429
40.4425432,-3.6731943
40.4389535,-3.6719437
40.4423512,-3.6725744
40.4443278,-3.6672701
40.4365995,-3.6678856
40.4407754,-3.6695052
40.43818,-3.6731481
40.4387555,-3.6728758
40.4413628,-3.672975
40.438563,-3.6707575
40.4430059,-3.6719756
40.4410012,-3.6643931
40.437963,-3.6658565
40.443636,-3.6661066
40.4411567,-3.6721712
40.4409955,-3.6694906
40.4293012,-3.6628727
40.4283809,-3.6728475
40.427744,-3.6717854
40.4361753,-3.6683086
40.4272289,-3.6695613
40.4353489,-3.6643401
40.4282264,-3.6666885
40.4311727,-3.6738407
40.4283212,-3.6667091
40.4313069,-3.6734156
40.431051,-3.6623435
40.4315396,-3.6680132
40.4303059,-3.6702977
40.4365995,-3.6678856
40.434315,-3.6684124
40.4316078,-3.6675077
40.4270919,-3.670044
40.435129,-3.6691503
40.4271916,-3.6684569
40.4306037,-3.6739292
40.4247472,-3.6726295
